aaxtomp3 1.1-2
perl-file-basedir 0.08-4
perl-file-desktopentry 0.22-6
perl-file-listing 6.04-7
perl-file-mimeinfo 0.29-3
perl-html-parser 3.72-9
perl-html-tagset 3.20-9
perl-http-cookies 6.08-2
perl-http-daemon 6.06-1
perl-http-date 6.05-2
perl-http-message 6.24-1
perl-http-negotiate 6.01-7
perl-image-exiftool 11.85-2
perl-io-html 1.001-6
perl-ipc-system-simple 1.30-1
perl-libwww 6.44-1
perl-lwp-mediatypes 6.02-7
perl-mailtools 2.21-3
perl-net-http 6.19-3
perl-timedate 2.33-1
perl-try-tiny 0.30-4
perl-uri 1.76-3
perl-www-robotrules 6.02-7
perl-xml-parser 2.46-1
perl-xml-writer 0.625-5
php 7.4.6-1
picom 8-2
pinentry 1.1.0-5
pipes.sh 1.3.0-1
pixman 0.40.0-1
pkcs11-helper 1.26.0-1
pkgconf 1.7.3-1
plex-media-player 2.57.0-1
polkit 0.116-5.1
polkit-gnome 0.105-4
polybar 3.4.3-1
poppler 0.88.0-1
poppler-glib 0.88.0-1
popt 1.16-12
portaudio 1:19.6.0-7
powertop 2.12-1
ppp 2.4.7-7
pptpclient 1.10.0-2
private-internet-access-vpn 3.3.3-12
procps-ng 3.3.16-2
protobuf 3.12.0-1
psmisc 23.3-2
pygobject-devel 3.36.1-1
python 3.8.3-1
python-appdirs 1.4.4-1
python-attrs 19.3.0-4
python-babel 2.8.0-4
python-cairo 1.19.1-1
python-chardet 3.0.4-5
python-docopt 0.6.2-7
python-docutils 0.16-1
python-gobject 3.36.1-1
python-idna 2.9-1
python-imagesize 1.2.0-1
python-jinja 2.11.2-1
python-markupsafe 1.1.1-4
python-npyscreen 4.10.5-4
python-ordered-set 3.1.1-2
python-packaging 20.4-1
python-pillow 6.2.1-1
python-psutil 5.7.0-1
python-pygments 2.6.1-2
python-pyparsing 2.4.7-1
python-pytz 2020.1-1
python-pyusb 1.0.2-4
python-pywal 3.3.0-2
python-requests 2.23.0-1
python-setuptools 1:47.1.1-1
python-six 1.15.0-1
python-snowballstemmer 2.0.0-3
python-sphinx 3.0.4-1
python-sphinx-alabaster-theme 0.7.12-3
python-sphinxcontrib-applehelp 1.0.2-1
python-sphinxcontrib-devhelp 1.0.2-1
python-sphinxcontrib-htmlhelp 1.0.3-1
python-sphinxcontrib-jsmath 1.0.1-4
python-sphinxcontrib-qthelp 1.0.3-1
python-sphinxcontrib-serializinghtml 1.1.4-1
python-ueberzug 18.1.5-3
python-urllib3 1.25.9-1
python-xlib 0.27-1
python2 2.7.18-1
python2-appdirs 1.4.4-1
python2-chardet 3.0.4-5
python2-idna 2.9-1
python2-ordered-set 3.1.1-2
python2-packaging 20.4-1
python2-pyparsing 2.4.7-1
python2-requests 2.23.0-1
python2-selenium 3.141.0-2
python2-setuptools 2:44.1.1-1
python2-six 1.15.0-1
python2-urllib3 1.25.9-1
qt5-base 5.15.0-3
qt5-declarative 5.15.0-1
qt5-location 5.15.0-1
qt5-multimedia 5.15.0-1
qt5-quickcontrols 5.15.0-1
qt5-script 5.15.0-1
qt5-sensors 5.15.0-1
qt5-styleplugins 5.0.0.20170311-23
qt5-svg 5.15.0-1
qt5-webchannel 5.15.0-1
qt5-webengine 5.15.0-1
qt5-webkit 5.212.0alpha4-6
qt5-x11extras 5.15.0-1
qt5ct 0.41-5
quazip 0.9.1-1
ranger 1.9.3.4.gd8c363c9-1
rdesktop 1.9.0-2
re2 1:20200601-1
readline 8.0.004-1
reiserfsprogs 3.6.27-3
remmina 1:1.4.5-1
remmina-plugin-rdesktop 1.3.0.0-1
rest 0.8.1-3
retroarch 1.8.8-1
rhash 1.3.9-2
rofi 1.5.4-1
rpcbind 1.2.5-3
rsync 3.1.3-3
rubberband 1.8.2-3
ruby 2.7.1-2
ruby-diff-lcs 1.3-4
ruby-irb 1.2.4-1
ruby-manpages 0.6.1-3
ruby-optimist 3.0.0-2
ruby-paint 2.1.0-2
ruby-rainbow 3.0.0-5
ruby-rdoc 6.2.0-2
ruby-reline 0.1.4-1
ruby-rspec 3.8.0-3
ruby-rspec-core 3.8.0-3
ruby-rspec-expectations 3.8.1-3
ruby-rspec-mocks 3.8.0-3
ruby-rspec-support 3.8.0-3
ruby-term-ansicolor 1.6.0-3
ruby-tins 1.16.3-3
rubygems 3.1.3-1
run-parts 4.8.6.1-2
rust 1:1.44.0-1
rxvt-unicode-patched-with-scrolling 9.22-11
rxvt-unicode-terminfo 9.22-9
s-nail 14.9.19-1
sassc 3.6.1-1
sbxkb 0.7.6-3
screenfetch 3.9.1-1
scrot 1.2-1
sdl2 2.0.12-1
sed 4.8-1
semver 7.3.2-1
shaderc 2020.0-1
shadow 4.8.1-1
shared-mime-info 2.0+1+g6bf9e4f-2
sl 5.02-5
slang 2.3.2-2
smbclient 4.12.3-2
snappy 1.1.8-1
soulseekqt 20180130-12
sound-theme-freedesktop 0.8-4
spectre-meltdown-checker 0.43-1
speedtest-cli 2.1.2-2
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2020.2-1
spotify-tui 0.20.0-1
sqlite 3.32.2-1
squashfs-tools 4.4-2
srt 1.4.1-2
startup-notification 0.12-7
stoken 0.92-4
sudo 1.9.0-1
svp 4.3.183-1
sysfsutils 2.1.0-11
syslog-ng 3.27.1-1
systemd 245.6-3
systemd-fsck-silent 239-1
systemd-libs 245.6-3
systemd-sysvcompat 245.6-3
taglib 1.11.1-4
talloc 2.3.1-2
tar 1.32-3
tdb 1.4.3-2
teamviewer 15.5.6-1
terminus-font 4.48-1
tesseract 4.1.1-2
tevent 1:0.10.2-1
texinfo 6.7-3
thin-provisioning-tools 0.8.5-3
timeset 1.5-4
tlp 1.3.1-2
tree 1.8.0-2
tslib 1.21-2
ttf-bitstream-vera 1.10-13
ttf-font-icons 1.1-3
ttf-liberation 2.1.0-1
ttf-mononoki 1.2-1
twolame 0.4.0-2
tzdata 2020a-1
uchardet 0.0.7-1
udisks2 2.9.0-1
ufw 0.36-3
unzip 6.0-14
upower 0.99.11-2
urxvt-perls 2.3-1
